No.,Title,Members,Status,Scope,Type,Upgraded,Upgraded Status,Year of Signature (Upgraded),Year of Enforcement/Termination (Upgraded),Trade in Goods,Year of Signature (Goods),Year of Enforcement/ Termination (Goods),WTO Notification  (Goods),WTO Notification Link,WTO Notification Year (Goods),WTO Consideration Process (Goods),SPS/TBT ,Anti-Dumping Duty, Safeguard,Trade in Services,Year of Signature (Services),Year of Enforcement/ Termination (Services),WTO Notification (Services),WTO Notification Year (Services),WTO Consideration Process (Services),Liberalization Approach (Services),Investment,Year of Signature (Investment),Year of Enforcement/ Termination  (Investment),Liberatlization approach (Investment),BIT (Source UNCTAD),Trade Facilitation & Customs Cooperation,Government Procurement,Competition Policy,Intellectual Property,Dispute Settlement,Temporary Movement of Natural Persons ,Sustainable Development Related Provisions,Sustainable Development by Concept,Labour protection,Human Rights,Gender,Health,Environment,SMEs,Technical Cooperation,Transparency,Financial Services,Telecommunications,E-commerce,"Online Consumer Protection 
(in E-commerce Chapter)","Personal Data Protection 
(in E-commerce Chapter)","Data flows 
(in E-commerce Chapter)",Link to website
187,Kazakhstan-Kyrgyzstan,Kazakhstan; Kyrgyzstan,Terminated,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1995,1995,1995,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=100,1999,Factual Presentation not distributed  ,No,No,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,In force,Yes,No,Yes,No,Yes,No,No,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,http://docsonline.wto.org/imrd/gen_redirectsearchdirect.asp?RN=0&searchtype=browse&query=@meta_Symbol%22WT/REG81/1%22&language=1&ct=DDFEnglish
188,Kazakhstan-Republic of Moldova,Kazakhstan; Republic of Moldova,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1995,1996,1996,No,No,No report ,No,No,No,No,No,No,No notification,No,No report,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,https://cis-legislation.com/document.fwx?rgn=8610
189,Kazakhstan-Russian Federation-Belarus,Kazakhstan; Belarus; Russian Federation,Terminated,Plurilateral,Customs Union,No,No,No,No,Yes,1995,1997,1997,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=857,2012,Factual Presentation not distributed  ,No,No,No,No,No,No,No notification,No,No report,No,No,No,No,No,In force,Yes,No,No,No,Yes,No,No,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,http://rtais.wto.org/rtadocs/857/TOA/English/THE AGREEMENT ON THE CUSTOMS UNION.docx
190,Kazakhstan-Serbia,Kazakhstan; Serbia,Terminated,Bilateral,Free Trade Agreement,No,No,No,No,Yes,2010,2012 / 2019,1998,No,No,No report ,No,No,No,No,No,No,No notification,No,No report,No,No,No,No,No,In force,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://ras.gov.rs/export-promotion/free-trade-agreements
191,Kazakhstan-Ukraine,Kazakhstan; Ukraine,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1994,1998,1997,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=572,2008,Factual Presentation not distributed  ,No,No,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,In force,Yes,No,Yes,No,Yes,No,No,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,http://rtais.wto.org/rtadocs/572/TOA/English/FTA Ukraine - Kazakhstan_ToA.doc
192,Kazakhstan-Uzbekistan,Kazakhstan; Uzbekistan,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1997,1997,2000,No,No,No report ,No,No,No,No,No,No,No notification,No,No report,No,No,No,No,No,In force,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://aric.adb.org/fta/uzbekistan-kazakhstan-free-trade-agreement
193,Kyrgyzstan-Belarus,Kyrgyzstan; Belarus,Terminated,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1999,2000,1996,No,No,No report ,No,No,No,No,No,No,No notification,No,No report,No,No,No,No,No,In force,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://mfa.gov.by/en/bilateral/cis/kyrgyzstan/
194,Kyrgyzstan-Republic of Moldova,Kyrgyzstan; Republic of Moldova,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1995,1996,2000,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=102,1999,Factual Abstract distributed ,No,No,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,In force,Yes,No,Yes,No,Yes,No,No,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,http://docsonline.wto.org/imrd/gen_redirectsearchdirect.asp?RN=0&searchtype=browse&query=@meta_Symbol%22WT/REG76/1%22&language=1&ct=DDFEnglish
195,Kyrgyzstan-Tajikistan,Kyrgyzstan; Tajikistan,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1996,2000,1998,No,No,No report ,No,No,No,No,No,No,No notification,No,No report,No,No,No,No,No,Signed,No,No,No,No,No,No,No,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,https://aric.adb.org/fta/tajikistan-kyrgyz-free-trade-agreement
196,Kyrgyzstan-Ukraine,Kyrgyzstan; Ukraine,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1995,1998,1998,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=104,1999,Factual Presentation distributed,No,No,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,Signed,Yes,No,Yes,No,Yes,No,No,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,http://docsonline.wto.org/imrd/gen_redirectsearchdirect.asp?RN=0&searchtype=browse&query=@meta_Symbol%22WT/REG74/1%22&language=1&ct=DDFEnglish
197,Kyrgyzstan-Uzbekistan,Kygyzstan; Uzbekistan,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1996,1998,1991,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=105,1999,Factual Presentation not distributed  ,No,No,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,In force,Yes,No,Yes,No,Yes,No,No,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,http://docsonline.wto.org/imrd/gen_redirectsearchdirect.asp?RN=0&searchtype=browse&query=@meta_Symbol%22WT/REG75/1%22&language=1&ct=DDFEnglish
198,Lao People's Democratic Republic-Thailand,Lao People's Democratic Republic; Thailand,Entry into Force,Bilateral,Partial Scope Agreement,No,No,No,No,Yes,1991,1991,2005,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=131,1991,No report ,No,No,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,In force,No,No,No,No,No,No,No,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=131
199,Lao People's Democratic Republic-United States of America ,Lao People's Democratic Republic; United States of America,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,2003,2005,2012,No,No,No report ,No,No,Yes,Yes,2003,2005,No notification,No,No report,No,No,No,No,No,In force,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,https://investmentpolicy.unctad.org/international-investment-agreements/treaty-files/5519/download
200,Malaysia-Chile,Malaysia; Chile,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,2010,2012,N/A,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=453,2013,Factual Presentation distributed,Yes,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,In force,Yes,No,No,No,Yes,No,Yes,Yes,No,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,http://www.sice.oas.org/Trade/CHL_MYS/Index_e.asp
201,Malaysia-European Free Trade Association (EFTA),Malaysia; Iceland; Liechtenstein; Norway; Switzerland,Under Negotiation,Country - Bloc,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.efta.int/free-trade/ongoing-negotiations-talks/malaysia/
202,Malaysia-European Union (EU),Malaysia; European Union (EU),Suspension,Country - Bloc,FTA & EIA,No,No,No,No,Yes,N/A,N/A,2010,http://rtais.wto.org/UI/PublicShowEARTAIDCard.aspx?rtaid=739,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://ec.europa.eu/trade/policy/countries-and-regions/countries/malaysia/
203,Malaysia-New Zealand,Malaysia; New Zealand,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2009,2010,2008,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=489,2012,Factual Presentation distributed,Yes,Yes,Yes,Yes,2009,2010,GATS Art. V,2012,Factual Presentation distributed,Positive,Yes,2009,2010,Negative,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,N/A,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,https://www.mfat.govt.nz/vn/trade/free-trade-agreements/free-trade-agreements-in-force/nz-malaysia-free-trade-agreement/
204,Malaysia-Pakistan,Malaysia; Pakistan,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2007,2008,N/A,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=187,2008,Factual Presentation distributed,Yes,Yes,Yes,Yes,2007,2008,GATS Art. V,2008,Factual Presentation distributed,Positive,Yes,2007,2008,Negative,Terminated,Yes,No,No,Yes,Yes,Yes,Yes,No,No,N/A,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,https://fta.miti.gov.my/index.php/pages/view/malaysia-pakistan
205,Malaysia-Republic of Korea,Malaysia; Republic of Korea,Under Negotiation,Bilateral,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,In force,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://aric.adb.org/fta/malaysia-korea-free-trade-agreement
206,Malaysia-Sri Lanka,Malaysia; Sri Lanka,Under Negotiation,Bilateral,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,2015,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,In force,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.adaderana.lk/news.php?nid=93528
207,Malaysia-Türkiye,Malaysia; Türkiye,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,2014,2015,N/A,http://rtais.wto.org/UI/PublicShowMemberRTAIDCard.aspx?rtaid=823,2017,Factual Presentation not distributed,Yes,Yes,Yes,Yes,No,No,No notification,No,No report,No,Yes,No,No,No,In force,Yes,No,No,Yes,Yes,No,Yes,No,No,N/A,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,https://fta.miti.gov.my/miti-fta/resources/Malaysia%20-%20Turkey/MTFTA_Main_Agreement.pdf
208,Malaysia-United Arab Emirates ,Malaysia; United Arab Emirates ,Under Negotiation,Bilateral,FTA & EIA,No,No,No,No,Yes,N/A,N/A,1994,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.reuters.com/business/malaysia-seal-free-trade-deal-with-uae-by-june-minister-says-2024-02-27/
209,Melanesian Spearhead Group (MSG),Fiji; Papua New Guinea; Solomon Islands; Vanuatu,Entry into Force,Plurilateral,Partial Scope Agreement,No,No,No,No,Yes,1993,1994,N/A,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=98,1999,Factual Abstract distributed ,No,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,http://docsonline.wto.org/imrd/gen_redirectsearchdirect.asp?RN=0&searchtype=browse&query=@meta_Symbol%22WT/COMTD/21%22&language=1&ct=DDFEnglish
210,New Zealand-European Union (EU),New Zealand; European Union (EU),Signed & Pending ratification,Country - Bloc,FTA & EIA,No,No,No,No,Yes,2023,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,2023,N/A,N/A,N/A,N/A,N/A,Yes,2023,N/A,N/A,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://policy.trade.ec.europa.eu/eu-trade-relationships-country-and-region/countries-and-regions/new-zealand/eu-new-zealand-agreement/text-agreement_en
211,New Zealand-Gulf Cooperation Council (GCC),New Zealand; Bahrain;  Kuwait; Oman; Qatar; Saudi Arabia; United Arab Emirates,Under Negotiation,Country - Bloc,FTA & EIA,No,No,No,No,Yes,2009,N/A,2001,N/A,No,No report ,Yes,No,No,Yes,2009,N/A,No notification,No,No report,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.mfat.govt.nz/en/trade/free-trade-agreements/free-trade-agreements-concluded-but-not-in-force/nz-gulf-cooperation-council-fta/
212,New Zealand-Singapore (Upgrade),New Zealand; Singapore,Entry into Force,Bilateral,FTA & EIA,Yes,Entry into Force,2019,2020,Yes,2000,2001,2013,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=78,2001,Factual Abstract distributed ,Yes,Yes,Yes,Yes,2000,2001,GATS Art. V,2001,Factual Abstract distributed ,Positive,Yes,2000,2001,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,N/A,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,https://www.mfat.govt.nz/en/trade/free-trade-agreements/free-trade-agreements-in-force/nz-singapore-closer-economic-partnership/cep-text/
213,New Zealand-Taiwan Province of China,New Zealand; Taiwan Province of China,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2013,2013,2005,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=874,2013,Factual Presentation distributed,Yes,No,No,Yes,2013,2013,GATS Art. V,2013,Factual Presentation distributed,Negative,Yes,2013,2013,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,https://www.nzcio.com/en/anztec/about-anztec/
214,New Zealand-Thailand,New Zealand; Thailand,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2005,2005,2023,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=31,2005,Factual Presentation distributed,Yes,Yes,Yes,Yes,2005,2005,GATS Art. V,2005,Factual Presentation on hold ,No,Yes,2005,2005,Positive,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,https://www.mfat.govt.nz/assets/Trade-agreements/Thailand-NZ-CEP/thainzcep-agreement.pdf
215,New Zealand-United Kingdom ,New Zealand; United Kingdom,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2022,2023,2020,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=1161,2023,Awaiting data from the parties,Yes,Yes,Yes,Yes,2022,2023,GATS Art. V,2023,Awaiting data from the parties,Negative,Yes,2022,2023,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.gov.uk/government/publications/uk-new-zealand-fta-summary-of-chapters/uk-new-zealand-free-trade-agreement-chapter-explainers
216,Pacific Agreement on Closer Economic Relations (PACER) Plus,Australia;  Cook Islands; Micronesia (Federated States of); Kiribati; Nauru; New Zealand; Niue; Palau; Marshall Islands; Samoa; Solomon Islands; Tonga; Vanuatu; Tuvalu,Entry into Force,Plurilateral,FTA & EIA,No,No,No,No,Yes,2017,2020,2003,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=683,2021,Factual Presentation currently being drafted,Yes,Yes,Yes,Yes,2017,2020,GATS Art. V,2021,Factual Presentation currently being drafted,Positive,Yes,2017,2020,Positive,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,https://www.dfat.gov.au/trade/agreements/in-force/pacer/documents
217,Pacific Island Countries Trade Agreement (PICTA),"Cook Islands; Fiji; Kiribati; Micronesia (Federated States of); Nauru; Niue; Marshall Islands; Palau, Papua New Guinea; Samoa; Solomon Islands; Tonga; Tuvalu; Vanuatu ",Entry into Force,Plurilateral,Free Trade Agreement,No,No,No,No,Yes,2001,2003,2009,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=582,2008,Factual Presentation not distributed  ,No,Yes,Yes,Yes,2012,N/A,No notification,No,No report,N/A,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,http://rtais.wto.org/rtadocs/582/TOA/English/PICTA-text.pdf
218,Pacific States-European Union (EU),Fiji; Papua New Guinea; Samoa; Solomon Islands; European Union (EU),Entry into Force,Country - Bloc,Free Trade Agreement,No,No,No,No,Yes,2009,2009,2021,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=759,2011,Awaiting data from the parties,Yes,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1399391908038&uri=CELEX:22009A1016(01)
219,Pacific States-United Kingdom ,Fiji; Papua New Guinea; Solomon Islands; United Kingdom,Entry into Force,Plurilateral,Free Trade Agreement,No,No,No,No,Yes,2019,2021,N/A,No,No,No report ,Yes,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,https://www.gov.uk/government/collections/uk-pacific-economic-partnership-agreement
220,Pakistan-Gulf Cooperation Council (GCC),Pakistan; Bahrain; Kuwait; Oman; Qatar Saudi Arabia; United Arab Emirates,Under Negotiation,Country - Bloc,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,2006,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.spa.gov.sa/en/bab0aad6b7e
221,Pakistan-Iran (Islamic Republic of),Pakistan; Iran (Islamic Republic of),Entry into Force,Bilateral,Partial Scope Agreement,No,No,No,No,Yes,2004,2006,2007,No,No,No report ,Yes,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,In force,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,http://www.commerce.gov.pk/about-us/trade-agreements/pak-iran-preferential-trade-agreement/
222,Pakistan-Mauritius,Pakistan; Mauritius,Entry into Force,Bilateral,Partial Scope Agreement,No,No,No,No,Yes,2007,2007,N/A,http://rtais.wto.org/UI/PublicShowMemberRTAIDCard.aspx?rtaid=638,2015,Factual Presentation not distributed  ,Yes,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,In force,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,https://www.mcci.org/en/global-marketplace/trade-agreements/mauritius-pakistan-pta/
223,Pakistan-Morocco,Pakistan; Morocco,Under Negotiation,Bilateral,Partial Scope Agreement,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Signed,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://mofa.gov.pk/pakistan-and-morocco-agree-to-boost-trade-and-commercial-ties
224,Pakistan-Singapore,Pakistan; Singapore,Under Negotiation,Bilateral,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,In force,N/A,Yes,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.mti.gov.sg/Newsroom/Press-Releases/2006/05/Third-Round-of-Pakistan-Singapore-FTA-Negotiations
225,Pakistan-Southern Common Market (MERCOSUR),Pakistan; Argentina; Brazil; Paraguay; Uruguay,Under Negotiation,Country - Bloc,Partial Scope Agreement,No,No,No,No,Yes,N/A,N/A,2005,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.pbc.org.pk/research/potential-for-a-pakistan-mercosur-fta/
226,Pakistan-Sri Lanka,Pakistan; Sri Lanka,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,2002,2005,N/A,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=561,2008,Factual Presentation distributed,Yes,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,In force,No,No,No,No,Yes,No,No,No,N/A,N/A,N/A,N/A,No,No,No,No,No,No,No,No,No,No,http://www.doc.gov.lk/index.php?option=com_content&view=article&id=30&Itemid=155&lang=en
227,Pakistan-Thailand ,Pakistan; Thailand ,Under Negotiation,Bilateral ,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,Yes,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.dtn.go.th/th/content/category/detail/id/844/iid/474
228,Pakistan-Tunisia,Pakistan; Tunisia,Under Negotiation,Bilateral,Preferential Trade Agreement ,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Signed,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.nation.com.pk/30-Nov-2022/scci-calls-for-signing-fta-to-strengthen-pak-tunisia-trade-ties
229,Pakistan-Türkiye,Pakistan; Türkiye,Signed & Pending ratification,Bilateral,Free Trade Agreement,No,No,No,No,Yes,2022,N/A,2023,N/A,N/A,No report ,N/A,N/A,N/A,No,N/A,N/A,No notification,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.trade.gov.tr/free-trade-agreements
230,Pakistan-Uzbekistan,Pakistan; Uzbekistan,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,2022,2023,2018,No,No,No report ,Yes,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,In force,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,https://www.commerce.gov.pk/wp-content/uploads/2023/01/Pak-Uzbek-PTA-signed.pdf
231,Philippines-European Free Trade Association (EFTA),Philippines; Iceland; Liechtenstein; Norway; Switzerland,Entry into Force,Country - Bloc,FTA & EIA,No,No,No,No,Yes,2016,2018,N/A,http://rtais.wto.org/UI/PublicShowMemberRTAIDCard.aspx?rtaid=954,2018,Factual Presentation distributed,Yes,Yes,Yes,Yes,2016,2018,GATS Art. V,2018,Factual Presentation distributed,Positive ,Yes,2016,2018,Positive ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes ,No,No,Yes,Yes ,No,No,Yes,Yes,Yes,Yes,No,No,No,http://www.efta.int/free-trade/free-trade-agreements/philippines
232,Philippines-European Union (EU),Philippines; European Union (EU),Under Negotiation,Country - Bloc,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,http://rtais.wto.org/UI/PublicShowEARTAIDCard.aspx?rtaid=949,N/A,N/A,Yes,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,Yes,Yes,Yes,Yes,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,http://ec.europa.eu/trade/policy/countries-and-regions/countries/philippines/
233,Philippines-Republic of Korea,Philippines; Republic of Korea,Signed & Pending ratification,Bilateral ,FTA & EIA,No,No,No,No,Yes,2021,N/A,1973,N/A,N/A,No report ,Yes,Yes,Yes,Yes,N/A,N/A,No notification,N/A,N/A,N/A,Yes,N/A,N/A,N/A,In force,Yes,N/A,Yes,N/A,Yes,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,https://www.dti.gov.ph/korea-free-trade-agreement/
234,Protocol on Trade Negotiations (PTN),Bangladesh; Brazil; Chile; Egypt; Israel; Mexico; Pakistan; Paraguay; Peru; Philippines; Republic of Korea; Serbia; Tunisia; Türkiye; Uruguay,Entry into Force,Plurilateral,Partial Scope Agreement,No,No,No,No,Yes,1971,1973,2022,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=147,1971,No report ,No,No,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,http://rtais.wto.org/rtadocs/147/RelatedDocuments/Notification/English/90850090.pdf
